Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

C259       D8           1064.173mil       1965mil       1200mil       1965mil       1200mil       1965mil  T        180.00 47uF      
L242       1812T             755mil     1787.5mil        755mil       1695mil        755mil       1695mil  T         90.00 B82432T1103K
U1151      TSSOP48      7641.378mil   1300.827mil       7415mil        915mil       7415mil        915mil  T         90.00 K9F1208U0B-PCB0
U500       LQFP144       6673.07mil   1605.513mil       6240mil       1950mil       6240mil       1950mil  T        360.00 XC2S100-5TQG144C
U1         TQFP-64      6913.779mil    3496.85mil       7150mil       3800mil       7150mil       3800mil  T        270.00 ATMEGA128L-8AI
S201       SKHHLQ           6925mil   6635.905mil       6925mil       6630mil   7013.583mil   6685.118mil  T        180.00 SKHHLQ    
C3         0603W            7300mil     3722.5mil       7300mil       3690mil       7300mil       3690mil  T         90.00 0.1uF     
JTAG       HDR1X6           7485mil       2940mil       7235mil       2940mil       7235mil       2940mil  T        360.00 HDR1X6    
J3         HDR2X3           7115mil       3970mil       7215mil       4020mil       7215mil       4020mil  T        180.00 HDR2X3    
C2         0603W            7310mil     3367.5mil       7310mil       3400mil       7310mil       3400mil  T        270.00 0.1uF     
C4         0603W            6530mil     3592.5mil       6530mil       3560mil       6530mil       3560mil  T         90.00 0.1uF     
R1         0603W          7392.5mil       4100mil       7360mil       4100mil       7360mil       4100mil  T        360.00 10k       
R2         0603W          7392.5mil       4040mil       7360mil       4040mil       7360mil       4040mil  T        360.00 10k       
R3         0603W          7392.5mil       3980mil       7360mil       3980mil       7360mil       3980mil  T        360.00 10k       
R4         0603W          7392.5mil       3920mil       7360mil       3920mil       7360mil       3920mil  T        360.00 10k       
C10        3216             6445mil       3630mil       6445mil       3685mil       6445mil       3685mil  T         90.00 10uF      
C11        3216             7445mil       3830mil       7390mil       3830mil       7390mil       3830mil  T        180.00 10uF      
C12        3216             7395mil       3325mil       7395mil       3270mil       7395mil       3270mil  T        270.00 10uF      
C517       0603W          7462.5mil       2640mil       7430mil       2640mil       7430mil       2640mil  T        360.00 0.1uF     
U501       TSSOP20      7505.158mil   2430.984mil       7390mil       2305mil       7390mil       2305mil  T         90.00 XCF01SVOG20C
R240       0603W          1032.5mil       3465mil       1000mil       3465mil       1000mil       3465mil  T        360.00 100R      
JP203      HDR1X2           6005mil       2150mil       5955mil       2150mil       5955mil       2150mil  T        360.00 HDR1X2    
JP201      HDR1X2           1465mil       3650mil       1465mil       3600mil       1465mil       3600mil  T         90.00 HDR1X2    
C1208      1206T          8277.5mil       5150mil       8345mil       5150mil       8345mil       5150mil  T        180.00 10uF      
C1207      0603W          8292.5mil       5230mil       8325mil       5230mil       8325mil       5230mil  T        180.00 0.1uF     
J300       DM1AA        8266.496mil   5873.386mil       8735mil       5460mil   8027.323mil   5373.386mil  T        180.00 DM1AA-SF-PEJ(21)
U1400      TQFP48      10136.733mil   4642.677mil      10245mil       4810mil      10245mil       4810mil  T        270.00 DM9161E   
R1452      0603W           10280mil     5012.5mil      10280mil       5045mil      10280mil       5045mil  T        270.00 49.9R     
L1403      0805T           10005mil       5145mil      10005mil       5190mil      10005mil       5190mil  T        270.00 MMZ2012Y202B
L1402      0805T           10245mil       5425mil      10245mil       5380mil      10245mil       5380mil  T         90.00 MMZ2012Y202B
L1401      0805T            9830mil       5265mil       9785mil       5265mil       9785mil       5265mil  T        360.00 MMZ2012Y202B
C1416      0603W            9885mil     5162.5mil       9885mil       5195mil       9885mil       5195mil  T        270.00 0.1uF     
C1415      0603W           10175mil     5402.5mil      10175mil       5370mil      10175mil       5370mil  T         90.00 0.1uF     
C1407      0603W            9935mil     5367.5mil       9935mil       5335mil       9935mil       5335mil  T         90.00 10nF      
C1406      0603W            9875mil     5367.5mil       9875mil       5335mil       9875mil       5335mil  T         90.00 0.1uF     
C1405      1206T           10015mil     5352.5mil      10015mil       5285mil      10015mil       5285mil  T         90.00 10uF      
